time,status,patent_name,inventor,patent_number,position,patentee
2013/7/18,authorized,Gruppenschlüssel-Managementverfahren auf Grundlage einer N-dimensionalen Hypersph?re,唐韶华、杨智敏、等,DE112009004334.8,Germany,华南理工大学
2014/12/31,authorized,Ansatz zur hierarchischen Gruppenschlüsselverwaltung auf Basis linearer Geometrie,唐韶华、等,DE112010005596.3,Germany,华南理工大学
2014/9/3,authorized,GB2479957,唐韶华、杨智敏、等,,UK,华南理工大学
2014/3/2,authorized,"US 8,744,085 B2",唐韶华、梁郁君、等,"US 8,744,085 B2",US,华南理工大学
2014/9/30,authorized,Hierarchical Group Key Management Approach Based Upon Linear Geometry,唐韶华、等,"US 8,848,921 B2 ",US,华南理工大学
2015/12/1,authorized,Composite Finite Field Multiplier,唐韶华、等,"US 9,201,847 B2 ",US,华南理工大学
2016/1/5,authorized,Parallel Device For Solving Linear Equation Set In Finite Field,唐韶华、等,"US 9,229,682 B2",US,华南理工大学
2016/7/12,authorized,Finite Field Inverter,唐韶华、等,"US 9,389,835 B2",US,华南理工大学
2015/1/30,authorized,A Parallel Device to Solve a System of Linear Equations over Finite Fields,唐韶华、易海博,HK1166532,HK,华南理工大学
2015/1/31,authorized,A Secure Group Key Management Approach Based Upon N-dimensional Hyper-sphere,唐韶华、杨智敏、等,HK1159348,HK,华南理工大学
2014/7/18,authorized,A Complex Finite Field Multiplier,唐韶华、易海博,HK1163857,HK,华南理工大学
2013/4/26,authorized,A Level Group Key Management Approach based on Linear Geometry,唐韶华、梁郁君、等,HK1149135,HK,华南理工大学
2009/5/6,authorized,数字证书签发服务器集群方法及系统,唐韶华、陈建超,ZL200410027332.5,China,华南理工大学
2009/5/6,authorized,票据防伪码生成及验证的系统及方法,唐韶华,ZL200410051480.0,China,华南理工大学
2010/12/1,authorized,一种基于N维球面的群组密钥管理方法,唐韶华、杨智敏、等,ZL200910037233.8,China,华南理工大学
2011/3/2,authorized,一种防盗抢的车辆控制系统及其实现方法,,ZL 2009 1 0039517.0,China,华南理工大学
2011/6/22,authorized,一种基于组合公开密钥的可信网络连接系统及方法,谢志远、唐韶华、等,ZL 200910040710.6,China,华南理工大学
2011/9/14,authorized,一种基于线性几何的群组密钥管理方法,唐韶华、等,ZL200910214130.4,China,华南理工大学
2012/2/22,authorized,一种基于N维球面的身份认证方法,唐韶华、张华、等,ZL 2009 1 0038249.0,China,华南理工大学
2012/8/22,authorized,一种基于线性几何的等级群组密钥管理方法,唐韶华、梁郁君、等,ZL 2010 1 0184830.6,China,华南理工大学
2013/12/25,authorized,一种复合有限域乘法器,唐韶华、易海博,ZL 2011 1 0267272.4,China,华南理工大学
2014/9/10,authorized,一种求解有限域上线性方程组的并行装置,唐韶华、易海博,ZL 201110366282.3,China,华南理工大学
2014/7/16,authorized,一种抗物理入侵和旁路攻击的密码芯片系统及其实现方法,,ZL 2011 1 0303449.1,China,华南理工大学
2014/10/29,authorized,抗信道木马攻击的金融POS系统及其抗攻击的实现方法,,ZL 201210081187.3,China,华南理工大学
2014/12/3,authorized,一种密码芯片系统及密钥提取方法,,ZL 201210013772.X,China,华南理工大学
2016/4/13,authorized,一种有限域求逆器,唐韶华、易海博,ZL 201210275733.7,China,华南理工大学
2016/10/5,authorized,一种用于密钥交换的多变量公钥密码系统及生成方法,唐韶华；李晓瑜,ZL 201310425406.X,China,华南理工大学
2016/10/5,authorized,一种多变量公钥加密/解密系统及加密/解密方法,唐韶华；沈伍强,ZL 201310425409.3,China,华南理工大学
2017/1/18,authorized,一种基于超球面的多变量公钥加密/解密系统及方法,唐韶华、陈家辉,ZL 201410015211.2,China,华南理工大学
2017/4/5,authorized,一种多变量公钥签名/验证系统及签名/验证方法,唐韶华、沈伍强,ZL 201310425390.2,China,华南理工大学
2017/5/31,authorized,一种基于超球面的多变量公钥签名/验证系统及方法,,2.0141E+11,China,华南理工大学
